"x"
"1" 5.1
"2" 5.84
"3" 4.8
"4" 3.88
"5" 4.66
"6" 4.86
"7" 3.722
"8" 4.76
"9" 4.92
"10" 4.76
"11" 3.5
"12" 3.82
"13" 5.36
"14" 3.06
"15" 5.28
"16" 3.82
"17" 7.56
"18" 3.48
"19" 4.46
"20" 5.92
"21" 7.58
"22" 3.42
"23" 3.94
"24" 5.22
"25" 3.74
"26" 3.78
"27" 4.12
"28" 8.16
"29" 5.06
"30" 2.8
"31" 3.76
"32" 5.08
"33" 4.4
"34" 4.6
"35" 5.08
"36" 3.86
"37" 4.02
"38" 3.76
"39" 3.38
"40" 3.02
"41" 4.54
"42" 2.82
"43" 5.08
"44" 3.96
"45" 2.82
"46" 4.9
"47" 3.8
"48" 3.4
"49" 5.66
"50" 5.52
"51" 0.2
"52" 0.6
"53" 1.6
"54" 4.2
"55" 4.1
"56" -0.4
"57" 9.2
"58" -0.6
"59" 4.4
"60" 4.3
